PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
32,https://jobsbyculture.com/seniority/senior,Senior Jobs at AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.datadoghq.com/detail/7534733/?gh_jid=7534733%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/roles/wlb/sales,Work-Life Balance Sales / GTM Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.airbnb.com/positions/7540205?gh_jid=7540205%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/roles/open-source/sales,Open Source Sales / GTM Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.airbnb.com/positions/7540205?gh_jid=7540205%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/roles/remote/ml-ai,Remote-Friendly ML / AI Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.airbnb.com/positions/7665266?gh_jid=7665266%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/roles/diverse/sales,Diverse & Inclusive Sales / GTM Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.airbnb.com/positions/7540205?gh_jid=7540205%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/seniority/lead/ml-ai,Lead / Manager ML / AI Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.airbnb.com/positions/7665266?gh_jid=7665266%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/roles/wlb/ml-ai,Work-Life Balance ML / AI Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.airbnb.com/positions/7665266?gh_jid=7665266%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/seniority/senior/sales,Senior Sales / GTM Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.datadoghq.com/detail/7534733/?gh_jid=7534733%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/roles/diverse/ml-ai,Diverse & Inclusive ML / AI Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.airbnb.com/positions/7665266?gh_jid=7665266%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
20,https://jobsbyculture.com/seniority/entry/sales,Entry / Junior Sales / GTM Jobs | AI & Tech Companies | JobsByCulture,text/html; charset=utf-8,false,200,0,0,,,0,https://careers.datadoghq.com/detail/6009779/?gh_jid=6009779%3Fref%3Djobsbyculture.com&ref=jobsbyculture.com,404,1
